Timestamp,Discord username (with numbers),Deck (Paste Here),"I have made sure that my deck abides by the ban-lists, and I understand that I will be immediately disqualified if it doesn't."
3/14/2024 21:14:15,spritelovers,"//deck-1
1 Planetary Field
2 Moltown the Sheosian Moon
1 Pointurret
2 Fraxle
1 Beast Of The Black Hole
2 Activation Activated Activator
1 For Sale Sign
2 Sheosian Lava Behemoth
1 Phantom Matter
1 K.O.
2 Scoria Carrier
2 Fire Wall
1 Mystical Relic - Phantasmal Spoons
2 Jakrah of the Blue-Flame Jar
2 The Undying Blue-Flame
2 Laji of the Blue-Flame Lamp
1 Time Flash Portal
1 Galaxy Crash
2 Zomatle
2 Magsprout
2 Sheosian Lava Mole
1 Pelfam

//sideboard-1
2 Super Flooper
1 Erratic Void
2 Shockwave 8
1 Time Flash Portal

//play-1
1 Creature Zone
1 Battle Zone
1 Resource Zone
1 Sheos",My deck abides by the ban-list
3/14/2024 22:44:31,Luweg,"//play-1
1 Sheos

//deck-1
2 Abomination Tomb
2 Activation Activated Activator
1 Beast Of The Black Hole
2 Beast of the Conjurers
2 Deepspace Lighthouse
1 Fire Wall
1 For Sale Sign
1 Galaxy Crash
2 Help-O-Belt
2 Jakrah of the Blue-Flame Jar
2 Laji of the Blue-Flame Lamp
2 Moltown the Sheosian Moon
2 Offerings to Eos
1 Pelfam
1 Phantom Matter
1 Planetary Field
1 Pointurret
2 Relohex Mine
2 Sheosian Lava Mole
1 Super Bouncy Trampoline
2 The Undying Blue-Flame
1 Time Flash Portal

//sideboard-1
1 Chroarok Comet
1 Cosmic Conjury
2 Monument to Creation
1 Sheosian Lava Behemoth
1 Zomatle
",My deck abides by the ban-list
3/14/2024 23:13:12,Chronoknight,"//sideboard-1
1 Abandonment
1 Shockwave 8
2 Super Flooper
2 Deepspace Lighthouse

//deck-1
2 Jakrah of the Blue-Flame Jar
2 Laji of the Blue-Flame Lamp
2 Scoria Carrier
2 Magsprout
2 Sheosian Lava Mole
2 Fraxle
2 Aubade Soldier
2 Zomatle
1 K.O. LOC
1 Phantom Matter
2 Moltown the Sheosian Moon
2 Offerings to Eos
2 The Undying Blue-Flame
2 Time Flash Portal
1 Chroarok Comet
1 Help-O-Belt
2 Activation Activated Activator
1 Fire Wall
1 Planetary Field
1 Beast Of The Black Hole
1 Pointurret

//hand-1
1 Resource Zone DD
1 Creature Zone DD
1 Battle Zone DD
1 Sheos
",My deck abides by the ban-list
3/15/2024 1:34:52,finnthedemon (nutellla),"//play-1
1 Sindell (planet)

//deck-1
1 Beast Of The Black Hole (loc)
1 Pointurret (piv)
1 Planetary Field (dsd)
2 Seal of Eternity (pv)
2 Activation Activated Activator (gdi)
1 For Sale Sign (ooc)
1 Phantom Matter (ooc)
1 K.O. LOC (loc)
2 Abomination Tomb (pv)
1 Mystical Relic - Phantasmal Spoons (p4)
1 Galaxy Crash (ooc)
2 Chroarok Comet (piv)
2 Bone Ladder (ooc)
2 Bonbeak (pv)
1 Skeleghast (gvi)
1 Spirit of the Anti-Justice Sword (gvi:016)
2 Wakooman (dsd)
1 Kalamask (baro)
2 Beast of the Conjurers (pv)
2 Dark-Spark Diabolus (pv)
2 Skelequeen (pv)
1 Pelfam (ooc)
1 Sheosian Lava Behemoth Alt Art (cgaa)
1 Cerberam of Sindell (pii)

//sideboard-1
1 K.O. LOC (loc)
1 Avalanche Overlord (pv)
2 Time Flash Portal (piv)
2 Super Flooper (pv)
",My deck abides by the ban-list
3/15/2024 2:22:31,._red_diamond_.,"//sideboard-1
2 Galdoraâ€™s Box
1 Divine Doom
1 Blaze Elixir
2 Super Bouncy Trampoline

//deck-1
2 Shape Knight Lionel
2 Shape Knight Trongulon
2 Shape Knight Squarn
2 Shape Knight Hexataur
2 Shape Knight Octorius
2 Light Beam Rider
2 Beast of the Conjurers
1 Divine Doom
2 Help-O-Belt
2 Polygrand-Arena of the Shape Knights
1 Uknighted
1 Mystical Relic - Phantasmal Spoons
1 Galaxy Crash
1 For Sale Sign
1 Phantom Matter
2 Cloud Cells
1 Blaze Elixir
1 Planetary Field
1 Beast Of The Black Hole
1 Pointurret
2 Seal of Eternity
2 Activation Activated Activator

//play-1
1 Sindian",My deck abides by the ban-list
3/15/2024 3:37:58,sw0rdp,"//deck-1
1 Planetary Field
1 Pointurret
1 Beast Of The Black Hole
2 Temple Traps
2 Activation Activated Activator
1 For Sale Sign
1 K.O.
1 Phantom Matter
2 Goouk - Tree Of The Nightjungle
1 Mystical Relic - Phantasmal Spoons
1 Galaxy Crash
2 The Magical Zamelion Tree
2 Gluuh - Beast Of The Nightjungle
2 Thorngabork
1 Voccapeccymacc
2 Sporegazer
2 Nawf
2 Rootaboot
2 Sistian, the Red Rose
2 Truent
1 Pelfam
2 Super Flooper

//play-1
1 Gaios

//deck-2
2 Temmagrob
2 Super Bouncy Trampoline
2 Spirit of the Anti-Justice Sword
",My deck abides by the ban-list
3/15/2024 7:59:29,GoldfishGallant#6963,"//pile-facedown
1 Sindian

//play-1
1 Battle Fish (Chaos Galaxy)
1 Creature Fish (Chaos Galaxy)
1 Resource Fish (Chaos Galaxy)

//deck-1
2 Shape Knight Octorius
1 Pelfam
1 Light Beam Rider
2 Shape Knight Hexataur
2 Shape Knight Squarn
2 Shape Knight Trongulon
2 Shape Knight Lionel
2 Polygrand-Arena of the Shape Knights
2 Dark-Spark Diabolus
2 Beast of the Conjurers
2 Zammer Zead
1 Orbov
2 Uknighted
1 Galaxy Crash
1 Phantom Matter
1 For Sale Sign
2 Monument to Creation
2 Activation Activated Activator
1 Relohex Mine
1 Beast Of The Black Hole
1 Pointurret
1 Planetary Field

//sideboard-1
2 Deepspace Lighthouse
2 K.O.
1 Sheos
1 Super Flooper",My deck abides by the ban-list
3/15/2024 7:59:49,Secret27#3693,"//deck-1
2 Shape Knight Octorius
2 Shape Knight Hexataur
2 Shape Knight Squarn
2 Shape Knight Trongulon
2 Shape Knight Lionel
2 Polygrand-Arena of the Shape Knights
1 Light Beam Rider
1 Pelfam
2 Dark-Spark Diabolus
2 Beast of the Conjurers
2 Zammer Zead
1 Orbov
2 Uknighted
1 Galaxy Crash
1 Phantom Matter
1 For Sale Sign
2 Monument to Creation
2 Activation Activated Activator
1 Beast Of The Black Hole
1 Pointurret
1 Planetary Field
1 Relohex Mine

//play-1
1 Sindian

//sideboard-1
1 Super Flooper
2 Deepspace Lighthouse
2 K.O.
1 Sheos",My deck abides by the ban-list
3/15/2024 8:32:51,jezzama,"//deck-1
2 Kalamask
2 Galactigauntlet
2 Upside Down Realm
2 Guster
2 Wakooman
2 Gluuh - Beast Of The Nightjungle
2 Sapling Squoz
2 Thorngabork
2 Shockafly
2 Goouk - Tree Of The Nightjungle
1 Star Path
1 Mystical Relic - Phantasmal Spoons
1 Galaxy Crash
2 Relohex Mine
2 Activation Activated Activator
2 Extra Extra Small Rescue
1 Beast Of The Black Hole
1 Planetary Field
1 Pointurret
2 Monument to Creation

//sideboard-1
2 Time Flash Portal
1 Blaze Elixir
1 Help-O-Belt
2 Rewind Wormhole

//hand-1
1 Gaios
",My deck abides by the ban-list
3/15/2024 8:49:39,Brainpixels ,"deck-1
2 Bugonk
2 Starship XXS
2 Blaze Elixir
2 Help-O-Belt
2 Sheosian Lava Mole
2 Sheosian Lava Behemoth
1 Pelfam
2 Droplet Squoz
2 Thorngabork
2 Gluuh - Beast Of The Nightjungle
2 Goouk - Tree Of The Nightjungle
2 Hot Pointato
2 Pointphantom
1 Monument to Creation
2 Activation Activated Activator
1 Beast Of The Black Hole
1 Galaxy Crash
1 Planetary Field
1 Pointurret
1 Phantom Matter
1 Mystical Relic - Phantasmal Spoons

//play-1
1 Gaios
1 Alar's Battle Zone
1 Alar's Creature Zone
1 Alar's Resource Zone

//sideboard-1
1 Avalanche Overlord
1 Monument to Creation
2 Super Flooper
2 Chroarok Comet",My deck abides by the ban-list
3/15/2024 12:51:38,billiboom2701p,"//deck-1
2 Zhemius
2 Galaxy Rock
2 Dark-Spark Diabolus
2 Beast of the Conjurers
2 Jakrah of the Blue-Flame Jar
2 Laji of the Blue-Flame Lamp
2 Aditrox
2 Droplet Squoz
2 Lightning Squoz
2 Sapling Squoz
1 Galaxy Crash
1 Soulshroom
2 Galafection
2 The Undying Blue-Flame
1 For Sale Sign
1 Phantom Matter
2 Moltown the Sheosian Moon
1 Pointurret
1 Beast Of The Black Hole
2 Activation Activated Activator

//hand-1
1 Sheos

//sideboard-1
1 K.O.
1 Super Bouncy Trampoline
2 Super Flooper
1 Bolide Comet
1 Burning Damacloid",My deck abides by the ban-list